subject_code;subject_name;subject_acronym
2223_INGE_EI_OD_RV_UE7393_IMAGRV;Synthèse d'images en temps réel;IMAGRV
2223_INGE_EI_OD_RV_UE7393_MODRV;De la Géométrie réelle au modèle 3D;MODRV
2223_INGE_EI_OD_RV_UE7494_INTER;Interaction 3D;INTER
2223_INGE_EI_OD_RV_UE7494_MEDEV;Méthodologie de Développement;MEDEV
2223_INGE_EI_OD_RV_UE7494_VISUS;Visualisation scientifique;VISUS
2223_INGE_EI_OD_RV_UE7494_VSION;Vision par ordinateur et Réalité Augmentée;VSION
2223_INGE_EI_S5_PROMO_A_UE53_MEMCO;Modélisation et mécanique des milieux continus;MEMCO_S5
2223_INGE_EI_S5_PROMO_A_UE54_CODEP;Conception et Développement de Produits;CODEP_S5
2223_INGE_EI_S5_PROMO_A_UE54_ENCLI;Enjeux Energétiques Environnementaux et Climatiques;ENCLI_S5
2223_INGE_EI_S5_PROMO_A_UE55_FLUID;Physique et Dynamique des Fluides;FLUID_S5
2223_INGE_EI_S5_PROMO_B_UE53_MATHS;Mathématiques pour l'ingénieur;MATHS_S5
2223_INGE_EI_S5_PROMO_B_UE54_CCUBE;Capteurs, contrôle, commande;CCUBE_S5
2223_INGE_EI_S5_PROMO_B_UE55_ALGPR;Algorithmique et Programmation;ALGPR_S5
2223_INGE_EI_S5_SOFTSKILLS_SE_IAM20;IAM20 - Connaissance de soi;IAM20_S5
2223_INGE_EI_S5_SOFTSKILLS_SE_IAM21;IAM21 - Construire et développer son réseau;IAM21_S5
2223_INGE_EI_S5_SOFTSKILLS_SE_IAM50;IAM50 - Parler vrai et cas de conscience;IAM50_S5
2223_INGE_EI_S5_SOFTSKILLS_SE_INOV14;INOV14 - Engagement responsable du don de soi;INOV14_S5
2223_INGE_EI_S5_SOFTSKILLS_SE_INOV20;INOV20 - Introduction à l'innovation;INOV20_S5
2223_INGE_EI_S5_SOFTSKILLS_SE_INOV29;INOV29 - Ateliers de sensibilisation sectoriels aux enjeux de la transition écologique (fresques);INOV29_S5
2223_INGE_EI_S5_SOFTSKILLS_SE_OSO10;OSO10 - Introduction à la RSE;OSO10_S5
